2003,100.00
2004,108.60
2005,117.48
2006,128.76
2007.140.03
2008,154.66
2009,164.32
2010,178.40
2011,189.95
2012,206.84
2013,222.33
2014,242.02
2015,260.59
2016,280.85
2017,312.14
2018,363.13

